Time,Seconds,Latitude / Y Position (Degrees),Longitude / X Position (Degrees),Distance (Miles),Speed (MPH),Steering Angle,Throttle Position,Engine RPM,Lateral Gs,Acceleration Gs
2018-04-08 10:31:48.690668,705.993356,30.324749,-97.756022,7.66,49.411,-0.2,1,1720,-0.03,-0.07
2018-04-08 10:31:48.710160,706.012847,30.324745,-97.756022,7.66,49.375,-0.2,1,1719,-0.03,-0.07
2018-04-08 10:31:48.790668,706.093356,30.324728999999998,-97.756022,7.66,49.224,-0.1,1,1713,-0.03,-0.08
2018-04-08 10:31:48.890668,706.193356,30.324709999999996,-97.756023,7.66,49.037,0.0,1,1706,-0.04,-0.08
2018-04-08 10:31:48.990669,706.2933559999999,30.324690999999998,-97.756023,7.66,48.85,0.1,1,1699,-0.04,-0.08
2018-04-08 10:31:49.090669,706.3933559999999,30.324671000000002,-97.756024,7.66,48.663000000000004,0.3,1,1692,-0.04,-0.08
2018-04-08 10:31:49.111662,706.414349,30.324666999999998,-97.756024,7.66,48.623999999999995,0.3,1,1691,-0.04,-0.08
2018-04-08 10:31:49.111796,706.414484,30.324666999999998,-97.756024,7.66,48.623000000000005,0.3,1,1691,-0.04,-0.08
2018-04-08 10:31:49.190668,706.493356,30.324652,-97.756025,7.66,48.476000000000006,0.5,1,1710,-0.04,-0.08
2018-04-08 10:31:49.290668,706.593356,30.324633000000002,-97.756025,7.66,48.288999999999994,0.8,1,1733,-0.05,-0.08
2018-04-08 10:31:49.390668,706.693356,30.324614,-97.756026,7.67,48.101000000000006,1.2,1,1757,-0.05,-0.09
2018-04-08 10:31:49.490669,706.7933559999999,30.324595000000002,-97.756026,7.67,47.913999999999994,1.5,1,1781,-0.05,-0.09
2018-04-08 10:31:49.590669,706.8933559999999,30.324576,-97.756027,7.67,47.727,1.8,1,1804,-0.06,-0.09
2018-04-08 10:31:49.690668,706.993356,30.324558000000003,-97.756028,7.67,47.54,2.1,1,1828,-0.06,-0.09
2018-04-08 10:31:49.712067,707.014755,30.324554,-97.756028,7.67,47.5,2.1,1,1833,-0.06,-0.09
2018-04-08 10:31:49.790668,707.093356,30.324539,-97.756028,7.67,47.352,2.4,1,1852,-0.06,-0.09
2018-04-08 10:31:49.890668,707.193356,30.324521,-97.756029,7.67,47.163999999999994,2.7,1,1876,-0.06,-0.09
2018-04-08 10:31:49.990669,707.2933559999999,30.324503000000004,-97.756029,7.67,46.975,3.0,1,1899,-0.07,-0.09
2018-04-08 10:31:50.012509,707.315197,30.324499,-97.75603000000001,7.67,46.934,3.0,1,1904,-0.07,-0.09
2018-04-08 10:31:50.090669,707.3933559999999,30.324485,-97.75603000000001,7.67,46.787,3.3,1,1923,-0.07,-0.09
2018-04-08 10:31:50.128546,707.431234,30.324478000000003,-97.75603000000001,7.68,46.716,3.4,1,1932,-0.06,-0.09
